NumItems,TimeTaken(s),HasConflict
60,DNF,False
30,186.81,False
40,DNF,False
40,0.00,False
30,35.27,True
20,0.00,False
70,0.01,False
36,332.38,True
30,0.08,True
30,0.00,False
32,0.17,True
100,DNF,False
70,DNF,False
10,0.00,False
60,0.02,False
90,DNF,False
28,3.38,True
10,0.00,False
80,0.04,False
20,0.95,False
40,DNF,True
20,0.05,True
26,0.05,True
28,0.06,True
24,0.02,True
50,0.01,False
22,0.44,True
40,0.39,True
34,298.80,True
38,0.60,True
34,0.17,True
10,0.00,True
36,0.64,True
5,0.00,True
50,DNF,False
24,2.32,True
22,0.01,True
20,0.01,True
80,DNF,False
32,120.69,True
38,DNF,True
26,2.45,True
